Year,job_description 
2015,"Minimum Required Skills:EDI, TrustedLink, AS2, VANIf you are an EDI Analyst with experience, please read on!We are a strong, long standing company looking for an EDI Analyst for our team.  You must have 3+ years of EDI experience  in a TrustedLink for i environment. Your role will work with our finance department identifying trading partners, work closely with external customers and be the EDI liaison across the company. You will also monitor AS2 and VAN communications, correct errors and incoming data.What You Need for this PositionRequirements:3+ years of EDI experience3+ years of TrustedLink for i Experience, iSeries/AS400Experience with VAN and AS2 communicationsWhat's In It for YouWe offer a strong compensation package and benefits!Local Candidates ONLY please.So, if you are an EDI Analyst with experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright å© 1999 - 2016 . CyberCoders, Inc. All rights reserved."
2015,"InformaticaåÊ/ ETL DeveloperSt, Petersburg, FL Only Full Time / Direct HiresåÊMultiple Positions.åÊRequirements5+ years‰Ûª experience as a DI / ETL DeveloperInformatica Power Center or similar ETL/DI toolInformatica B2B Data Exchange or similar SOA toolUnix/Linux Operating System and scripting languageDatabases (Netezza, Oracle, MySQL), SQLData Warehousing experienceStrong analytical skills and presentation skillåÊDesired:Experience with Database Administration, working with front-end tools, Reporting tools, etc.C, Java, C++, C#, or similar programming languageGood understanding of and experience with Application Interfaces (EAI), Business-to-Business Interfaces (B2B), Master Data Management (MDM)"
2015,"pmayekar@kanandcorp.com 512-697-8897Sunnyvale , CAANGULARåÊJSåÊdevelopersåÊwithåÊhibernate,åÊSpring,åÊRESTåÊ"
2015,"This nationally recognized Microsoft Gold Partner recently closed on 3 Dynamics AX 2012R3 projects in the Toronto area. They're seeking a seasoned AX Project Manager, who has managed large scale, multimillion dollar AX 2012R3 implementations within a Manufacturing environment. If you are seeking a stable company who can support your growth and development around managing large scale implementations that just might the right role for you!   Summary of Position:*Will be a part of the AX Consulting Team and lead /manage a team of Microsoft Dynamics AX professionals. *Will assist the Practice Director in the management of the performance of the AX practice in terms of revenue and billability; assist in the deployment of resource to drive profitability and practice growth.*Work with other team members, customers, partners and sub-contractors, and Sales team to ensure successful customer delivery.*Will utilize problem-solving skills to develop and implement Dynamics AX business solutions for this MS Gold Partner's levergable customers. *Responsible for customer interactions, understanding the customer's business and developing leveragable relationships *Will be conversational in methodologies used in the AX practice*Proactively look for ways to keep all time productive and will use non-customer time for management tasks, personal training and internal projects.*Will be expected to coach and mentor practice team members.*Reports to the Director.Key Responsibilities:Delivery Oversight*Project Management duties on complex projects or on multiple projects (define service objectives by determining requirements, develop project plans, assembling and scheduling required service resources, defining service measurements, manage budget/actual and scope of work, approval of project-related T&E)*Ensure projects are forecasted appropriately*Cultivate deep product experience in Dynamics AX*Assist in refining ""best practices"" in delivery, including templates, work plans, methodologies*Enhances practice's and organization's reputation by accepting ownership for accomplishing new and different requests.*Identify opportunities to add value to clients and MS Gold Partner*Resolve project, customer and staff issues independently and with minimal escalation to Director-level*Lead customer meetings or facilitated strategy sessions, analyze processes and recommend improvements, particularly when a SME is required beyond the project team or on larger, complex projectsBusiness Growth & Development*Identify and support the closure of cross-selling opportunities with existing customers*Ensures adherence to policies and procedures regarding branding issues, marketing standards, and customer contactThis client offers a competitive benefits package including: Health, Dental, 401K, FSA, HRA, and LTD. Salary negotiable based on experience. We are looking to fill this position ASAP so if you meet the desired qualifications above please APPLY NOW and call CHRISTOPHER RELIHAN at 212-731-8262. Send resumes to c.relihan@nigelfrank.com Nigel Frank International is the global leader for Microsoft Dynamics recruitment, advertising more Axapta / Dynamics AX jobs than any other agency. We deal with both Microsoft Partners & End Users throughout North America. By specializing solely in placing candidates in the Microsoft Dynamics market I have built relationships with most of the key employers in North America and have an unrivalled understanding of where the best opportunities and Axapta / Dynamics AX jobs are. I understand the need for discretion and would welcome the opportunity to speak to any Microsoft Dynamics AX / Axapta candidates that are considering a new career or job either now or in the future. Confidentiality is of course guaranteed. For information on the Microsoft Dynamics market and some of the opportunities and Dynamics AX / Axapta jobs that are available I can be contacted on 1-212-731-8282. Please see www.nigelfrank.com for more fantastic Microsoft Dynamics opportunities! Nigel Frank International Inc. is acting as an Employment Agency in relation to this vacancy."
2015,"Minimum Required Skills:C#, ASP.NET, SQL, JavaScript, MVCIf you are a .NET Developer with experience, please read on!What You Will Be DoingYou'll be an all-hands-on-deck, whatever-it-takes contributor to all levels of our software design. You'll interface directly with senior managers (CTOs and Development Managers) at our clients to understand specifications. You'll work on feature development, testing, bug fixing, maintenance, and support. You will have the opportunity to work on all aspects of our technology pipeline, from black-box algorithms to real-time visual analytics, from server and UI coding to our messaging architecture and even general project management.What You Need for this Position1. BA or BS in Computer Science or related field2. At least 3 years of experience in C#.NET, SQL3. Excellent business communication and interpersonal skills, and an ability to communicate with both technical and non-technical staff4. Demonstrated analysis/assessment capabilities5. An affinity for well architected solutions and a passion for high standards of quality6. Superb planning & organization skills7. Ability to make independent, reliable decisions8. A superior work ethic, self-starterWhat's In It for You- Vacation/PTO- Medical- Dental- Vision- Bonus- 401(k)*****If you would like to apply directly, please send your resume to paul.madden@cybercoders.com*****So, if you are a .NET Developer with experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright å© 1999 - 2016 . CyberCoders, Inc. All rights reserved."
2015,"Minimum Required Skills:Machine Learning, Java/ Scala, SPARK, Predictive Modeling, Industrial IoT Analytics, Data Visualization, Natural Language Processing (NLP), Python, Deep LearningIf you are a Machine Learning Engineer with experience, please read on!Job Title: Machine Learning Engineer (Data Scientist)Location:  Relocate to Detroit , MI Salary: $110-160kThe company:  We use our services to digitally transform businesses in the areas of Predictive Maintenance, Product/Content Recommendations, and Fraud Predictions. Our platform is revolutionizing the way Enterprises use Data Analytics by providing a fast scalable automated platform . We look for the best and brightest and you could be the next Data Scientist we add to our team!!Top Reasons to Work with Us1. Be a part of an award-winning cognitive data science platform to build revolutionary data products for Predictions and Recommendations!2. A well-funded start-up where you play an integral part in the company and be in a leadership role3. Health and Medical benefitsWhat You Will Be Doing-Conduct research on meta learning and machine learning algorithms for enhancing the automated data science technology to deliver highly relevant insights from data in an automated way.-Apply meta learning and distributed computing for building large scale solutions for solving problems in predictive analytics and recommendation.Interact with clients to understand requirements, implement and present results.Coordinate and collaborate with cross-functional teams including product management, customer support & operations, sales, marketing and management.-Be a thought leader and technology evangelist and collaborate with marketing to promote our technology leadership in creative ways in online and offline channels.What You Need for this PositionRequirements: Bachelors in Computer Science or Equivalent- Preferred Masters or PhD in Machine Learning, Data Analytics, Big Data or similar 5+ Years  of Research experience and 1+ year expereince in the following - Machine Learning/ AI/ Deep Learning or NLP - Spark, Sparl ML, or Spark Mlilb-Java/ Scala- Predictive modeling- Data Streaming- Clustering Pluses:-Big Data Analytics- Hadoop, Mahout, Lucene, Solr, ElasticSearch-Experience with interacting with customers in IoT, Manufacturing, Telecom, or Financial Services-Data visualizationWhat's In It for You- Competitive Salary- Great Work Environment- Immediate HireIf you are an experienced Machine Learning Engineer, please apply today! or simply send your resume to: amanda.wilson@CyberCoders.comApplicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright å© 1999 - 2016 . CyberCoders, Inc. All rights reserved."
2015,"Hatstand, a global financial consultancy, is seeking a Jr. to Associate level Java Developer with 2 ‰ÛÒ 4+ years of practical experience.ThisåÊopportunityåÊis part of the Hatstand Green Beret Programme, our unique talent development programme which arms talented recent graduatesåÊand associate level Jr. Developers with some experience;åÊthe skills and experience necessary to craft a career in the financial sector.åÊPrimary responsibilities of Hands-on programming and analysis, participating in the development and design of the existing and future applications within a range of mixed assets.åÊEssential ResponsibilitiesåÊBeing involved in the full software development cycle: Analysis/Design, Coding, Testing and Release for risk application and platform services, with primary focus on Java.Focus on simplifying implementation, standardizing usability and promoting code and library reuse with the aim of raising efficiency levels of the team.Contributing to the design and evolution of the system(s) by participating in the architecture and technical discussions with the teamAbility to work under minimal supervision to design and implement the required functionality/bug fixes/enhancements within allotted timescalesProviding third line support to the application's global user community, which will include assisting dedicated support staff and liaising with the members of other development teams directly.åÊEssential RequirementsDegree in Computer Science, Math, Physics, Engineering or a related field.Minimum 0 -åÊ3 years hands-on Java programming experience and strong analytical skillsMinimum of 0 -åÊ3 years‰Ûª experience of full software development cycle: Analysis/Design, Coding, Testing and Release for applications and platform services, with primary focus on Java.åÊ Academic and professional experience will be considered.Database experience, preferably Oracle and basic Sql Skills.Agile knowledge and exposure in an academic or professional contextåÊHatstand ‰ÛÒ a Synechron company is a Global Financial Consultancy and Capital Markets Specialist.åÊåÊWe operate in three key areas of financial markets:åÊTrading - Systems & Connectivity, Data Management and Regulation & Risk. åÊåÊAs a software enabling solutions provider, we work closely with our clients to deliver flexible, bespoke solutions that address the diverse challenges of the financial technology environment.åÊOur international reach allows us to successfully execute projects and managed services across the globe, with offices in London, Geneva, Dubai, New York, Hong Kong, Singapore and Sydney.åÊ"
2015,"Linux System Administrator opportunity- with investment firmDuties- to make sure Red Hat / CentOS Linux servers are stable, safe, and efficient.åÊåÊåÊ Configure and monitor Data Center operations across multiple geographic locations.åÊåÊåÊ Plan, install, and administer a Disaster Recovery system for our Linux environment.åÊåÊåÊ Troubleshoot server problems with researchers and traders.åÊåÊåÊ Design and implement information security systems.åÊåÊåÊ Create robust backup processes for Linux systems.åÊåÊåÊ Concisely document the firm's infrastructure.åÊåÊåÊ Linux systems -desire to build a robust and scalable infrastructure.åÊåÊåÊåÊ administrative experience with Linux (Redhat 4+, CentOS).åÊåÊåÊåÊ experience in Bash shell scripting.åÊåÊåÊ database experience åÊ"
2015,"Varite is looking for Senior Commission Analyst in Sunnyvale , CA for one of its client.Here are the Job Details:Title: Senior Commission AnalystDuration: 06+ Months Contract Location: Sunnyvale, CAJob Summary:This position is responsible for managing commission payment related activities for NetApp‰Ûªs geography.åÊ The Commission Analyst will provide daily operational support for administering the Commission processing activities.åÊ This includes partnering closely with other departments in support of the monthly commission pay process, successful generation of payfiles, reconciling commissions and management of commission statements.åÊ This position will report directly into the Senior Manager, Global Commission Accounting.åÊRequirements:Essential Job Functions:Commission Accounting payfile generation Lead for all GEOsPerform analyses, reconciliations, Sox compliance activities, and ad hoc reporting as directedSox activities include random manual calculations to validate commission system results, åÊpayee reconciliation, and performing other control related tasksReconciliations include Commission Extract processing, Commission Detail Reports and Payfile ChecklistsAd hoc reporting also includes research and analysis of discrepancies, including monthly deficits, to support business related inquiriesåÊDocument current and ongoing Commission Accounting processes, policies and procedures, and technological developments; understand data flow, system architecture and make recommendation for changes, upgrades, reconfigurations, and adoption of new technologiesUtilize the TrueComp Manager application to research participants setups, payment history, hierarchies, and other commission related informationServe as a subject matter expert in various Commission Accounting processes, including selected upstream processesProvide analytical expertise in the commission processes and systems, working with team to identify opportunities for improvementsParticipate and support UAT activitiesCollaborate with business groups across the pay cycle process, including Worldwide Sales Compensation, Geo Compensation and PayrollåÊEssential Job Qualifications:Education:åÊUniversity Bachelor's degree in finance preferred, or equivalent relevant experienceExperience:åÊExperience in Callidus TrueComp and different modules preferred.åÊDesired 5+ years‰Ûª experience with payfile generation / variable compensation managementåÊRequired Skills:Highly skilled in the use of Microsoft Office suite ( particularly, Excel, Access and outlook ), Oracle (11.5.9), SQL, DB2Exceptional attention to detail, a good problem solver who is organized, flexible, self-directed and possesses excellent written and verbal communication skillsåÊExceptional ability to follow procedures and adhere / perpetuate departmental policiesAbility to communicate effectively and work cooperatively with staff at all levels of the organization, including internal and cross-departmental teams, consistently displaying a high level of professionalismMust possess the ability to work with confidential reports and information with complete discretionKeywords:åÊCommission Analyst, Sales commission analyst, compensation analyst, financial analyst, Xactly, Tuecomp, Callidus, Commission Analyst, Sales commission analyst, compensation analyst, financial analyst.About VariteVARITE is a global IT company providing software consulting and staffing services to Fortune 1000 Companies in USA, CANADA and INDIA. VARITE is currently a primary and direct vendors to the leading corporations in the areas of Networking, Infrastructure Application Software, Semiconductor, EAI, Portal technologies, ERP, Wireless Service Providers, Lending - Mortgage and Financial Services.åÊ"
2015,"Tranzeal is an industry leading global Business Transformation Service Provider offering specific consulting services as well as pre-packaged, industry specific solutions and services to companies around the world. Our Consulting Services are dedicated to helping our clients maximize their investments in IT and the overall effectiveness and efficiency of the business. Tranzeal‰Ûªs deep industry experience makes us the partner of choice for a growing number of Fortune 1000 companies, midsize enterprises and small businesses worldwide.We are currently looking for 'Drupal Developers' to support one of our clients with the following skills:Requirement:Job Title: Drupal DeveloperLocation: Sunnyvale, CADuration: Long Term ContractRate: DOEResponsibilitiesåÊ‰Û¢ Develop and maintain a Drupal based eCommerce siteåÊ‰Û¢ Develop custom features and enhance existing modulesåÊ‰Û¢ Setting up of workflows, ACLsåÊ‰Û¢ Manage Drupal performance, caching, deployments and databaseåÊ‰Û¢ Manage Apache Solr and MemCache instance for caching and indexing the contentsåÊ‰Û¢ Writing queries to extract data from MySQL and managing the instanceåÊåÊQualificationsåÊ‰Û¢ Bachelors or Master's degree in Computer Science from a leading university.åÊ‰Û¢ 7+ years of experience in web application development with 3+ years of experience in Drupal application developmentåÊ‰Û¢ Deep understanding of Drupal concepts, module development, best practices, and coding standards especially Drupal 7åÊ‰Û¢ Hands on Experience with Drupal Performance TuningåÊ‰Û¢ Advanced skills in PHP5, MySQL and HTML/CSS/AJAX/JavaScriptåÊ‰Û¢ Experience with object-oriented designåÊ‰Û¢ Experience with standard and custom search solutions in DrupalåÊ‰Û¢ Experience with content migration to environmentsåÊ‰Û¢ Working knowledge of Apache Web server, web services and databasesåÊ‰Û¢ Experience configuring environments and working with hosting providers.åÊ‰Û¢ Experience with setting up and maintaining apache solr search on Linux machinesåÊ‰Û¢ Experience with Acquia desiredåÊ‰Û¢ Experience with source/version control systems. Experience with GIT desiredåÊ‰Û¢ Excellent verbal/written communication skills, time management and analytical/problem solving abilities‰Û¢ Team player with ability to be hands-on & get knee-deep in codeåÊ‰Û¢ Strong software engineering expertise, Continuous Integration & architecting solutions with performance in mind.åÊ‰Û¢ Experience optimizing the performance and scalability of Enterprise Drupal applications.åÊApply: Interested candidates Shall submit thier latest word formatted resume with best contact number to sureshs@tranzeal.comåÊThanks & Regards,Venkata SureshåÊ| Resource Manager Phone: +1åÊ408.884.0357åÊåÊTranzealåÊIncorporated1754 Technology Drive. Suite 126 | San Jose, CA 95110åÊ"
